Search Term,Tweet Text,URL
Trump,RT @BCAppelbaum: White House spokesman Sean Spicer says WH will not present any proof of President Trump's allegation that President Obama…,
Trump,"Okay Ladies,

Do we get a mans day off now?

Not a chance!

At least one for Trump!

God bless!",
Trump,"RT @KathaPollitt: ""Women--you have to treat em like sh*t."" --Donald J. Trump. https://t.co/11980wZx5u",https://twitter.com/realDonaldTrump/status/839433678275153921
Trump,Meet the Hundreds of Officials Trump Has Quietly Installed Across the Government https://t.co/jbyqYoToXm,http://a.msn.com/01/en-us/AAo2qW0?ocid=st
Trump,RT @LawyerRogelio: CAN'T WAIT 2 HAVE THIS GUY COME N TELL US THE DIRTY DOSSIER S REAL Former UK agent breaks silence over Trump dossier htt…,
Trump,@CNNPolitics The world is now seeing Trump for what he truly is; a man overwhelmed and unprepared to execute the duties of a President. SOS!,
Trump,"@realdonaldtrump Take ur freakin' unpopularity, couple it with willful ignorance &amp; u have an idiot with a smart... https://t.co/uvG5cbZ7Um",http://fb.me/7wrlgKfHJ
Trump,"RT @ChrisMurphyCT: This is simple stuff. Trump promised to cover everyone. 

He is now pushing a bill that ends insurance for millions. 

P…",
Trump,"RT @goldengateblond: Just a few of the nice things Trump has said in the past about Jon Huntsman, his new Ambassador to Russia. 💕 https://t…",
Trump,RT @lambertglowbug2: CHRISTOPHER STEELE WILL EXPOSE TRUMP AS THE TRAITOR THAT HE IS! PRISON TIME! https://t.co/kRgryYMI4h,http://www.belfasttelegraph.co.uk/news/uk/former-uk-agent-breaks-silence-over-trump-dossier-35509802.html
Trump,"RT @thehill: China approves Trump trademarks for hotels, escort services: https://t.co/UrmV7h9975 https://t.co/AdphP3f2ay",http://hill.cm/QwSzUgP
Trump,"RT @Fahrenthold: Wow. Amazing work by @propublica to build a list of folks @realdonaldtrump  sent into agencies as ""beachhead teams."" https…",
Trump,"So basically Russia post-election is the same as Trump pre-election. A singular entity that the ""Media"" hopes never… https://t.co/3Gq18GTQAs",https://twitter.com/i/web/status/839707933164240898
Trump,"RT @Acosta: Trump told Tea Party groups at WH if GOP health care plan dies, he will let Obamacare fail and let Dems take the blame, I'm tol…",
Trump,RT @100PercFEDUP: New post: BREAKING: Obama’s DOJ Under Investigation For Aiding IRAQI REFUGEE Terror Suspect To Allegedly Deny C https://t…,
Trump,RT @nytimes: An anti-Trump candidate in Georgia has raised $3 million. But can he win? https://t.co/U2yOCCKsOm,http://nyti.ms/2n0OEQl
Trump,Linda Sarsour was just arrested outside Trump International for disorderly conduct. https://t.co/TlRdw0EcMh,
Trump,"RT @Fahrenthold: Wow. Amazing work by @propublica to build a list of folks @realdonaldtrump  sent into agencies as ""beachhead teams."" https…",
Trump,"@JuliareCardenal The American People &amp; I have spoken &amp; woken up against this World Disorder. With Trump it is the ""People's Order""",
